IDA blend,IDB,58.93701417,58.94631029,61.83859237,62.3735091,61.14297713,60.3514227,60.67866836,61.34713597,61.81351194,..,..,..
IDA only,IDX,75.39361778,77.12576364,69.65623998,69.10933666,68.42104246,67.04712049,65.97872512,66.0828977,67.30687003,..,..,..
IDA total,IDA,67.0138023,67.77643351,65.82032192,65.81569595,64.84284701,63.75672624,63.40269545,63.79781744,64.66047163,..,..,..
Late-demographic dividend,LTE,19.51423403,21.63967406,13.81344428,13.76725944,14.10739177,14.41002877,14.75534048,15.22962317,15.76804009,..,..,..
Latin America & Caribbean,LCN,32.57525363,28.4784888,27.71295288,28.22394531,28.90822344,29.40199837,30.25279721,30.65901425,33.9329423,..,..,..
Latin America & Caribbean (excluding high income),LAC,34.71432291,29.83358012,29.21132775,29.41627945,30.13481414,30.65665687,31.49232162,31.78005593,34.92910872,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,32.37031812,28.55598873,27.91500834,28.4665301,29.17197603,29.6360965,30.49573642,30.9074463,34.23765706,..,..,..
Least developed countries: UN classification,LDC,85.84005089,83.82281671,72.80916233,72.58678678,71.97734966,70.72371801,69.76898148,69.65443915,70.93490842,..,..,..
Low & middle income,LMY,34.66840673,34.11250891,23.41289185,23.44385018,23.72987272,23.76764,23.84689613,24.33508589,25.26248957,..,..,..
Low income,LIC,59.09266127,69.09365592,74.10848941,76.89984529,76.81489941,73.48960361,73.03505722,72.57217721,74.21297402,..,..,..
Lower middle income,LMC,55.43823614,51.53054482,42.53240139,41.6452036,40.81863668,40.10200914,39.89277514,40.25270626,42.04187376,..,..,..
Middle East & North Africa,MEA,2.916499408,2.196361763,1.559839682,1.527430205,1.594509121,1.587153837,1.663919052,1.823345049,1.995650378,..,..,..
Middle East & North Africa (excluding high income),MNA,4.124300645,3.007843026,2.504537362,2.516849214,2.584371498,2.498080954,2.548985108,2.759722902,2.927494719,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,4.058899327,2.959287947,2.463984079,2.474712578,2.534551022,2.458725735,2.502343338,2.704809252,2.863707225,..,..,..
Middle income,MIC,33.44695262,32.4491084,21.61980498,21.59428249,21.86676142,21.9573462,22.06394839,22.54733782,23.3864365,..,..,..
North America,NAC,6.176548898,7.211362219,10.64276367,10.45552255,10.81338081,11.35193528,11.46307413,11.78375194,12.59905123,..,..,..
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,7.201284714,7.854778481,12.19934981,12.29298109,12.47517887,12.86276708,13.26571828,13.77842841,14.90352388,..,..,..
Other small states,OSS,21.728,29.34566753,31.55878664,32.3242982,32.21762749,31.5667679,31.9564812,31.71325161,34.0445543,..,..,..
